orig.ident	nCount_RNA	nFeature_RNA	donor	cell_name	run_id	donor_id.run_id	percent.mt	percent.ribo	S.Score	G2M.Score	Phase
mydata_scRNAseq	37626.7999999999	8521	zapk_3	25476_4#280	25476_4	zapk_3-25476_4	0	1.87525912381601	-0.241713695801787	-0.32422502870263	G1
mydata_scRNAseq	35990.1999999996	7796	qunz_3	25476_7#139	25476_7	qunz_3-25476_7	0	2.06556229195728	-0.679659325533398	-0.0674799081515571	G1
mydata_scRNAseq	37433.9999999994	8479	kefb_1	25476_4#379	25476_4	kefb_1-25476_4	0	1.84190842549557	-0.116152787336556	-0.102066590126293	G1
mydata_scRNAseq	38278.0000000003	8951	nosn_6	25476_4#209	25476_4	nosn_6-25476_4	0	1.82193427033804	-0.0551049552649765	-0.0817451205510995	G1
mydata_scRNAseq	37258.4000000003	8480	nosn_6	25476_4#83	25476_4	nosn_6-25476_4	0	1.85542052262039	-0.0943565037852769	-0.221440872560262	G1
mydata_scRNAseq	35599.8300000001	7854	nosn_6	25476_4#277	25476_4	nosn_6-25476_4	0	1.96220038129395	-0.367346868547812	-0.892445464982781	G1
mydata_scRNAseq	36955.3000000008	8389	eesb_1	25476_7#70	25476_7	eesb_1-25476_7	0	1.9265707489859	-0.273635409497557	-0.100680252583198	G1
mydata_scRNAseq	32670.3000000006	6900	zapk_3	25476_4#4	25476_4	zapk_3-25476_4	0	2.49278396586498	-0.0746352374397627	-0.577210103329497	G1
mydata_scRNAseq	35000.4000000003	7110	yelp_3	25476_7#196	25476_7	yelp_3-25476_7	0	2.00740562964993	-0.0857209222298536	-0.199712973593554	G1
mydata_scRNAseq	35915.31	7897	eesb_1	25476_7#35	25476_7	eesb_1-25476_7	0	1.88682765093772	-0.0245445629731416	-0.0417164179104423	G1
mydata_scRNAseq	35684.8099999999	8152	kuxp_1	25476_7#348	25476_7	kuxp_1-25476_7	0	1.72622468775931	-2.41308688919477	-2.62979047072332	G1
mydata_scRNAseq	35851.4999999998	7800	melw_2	25476_7#109	25476_7	melw_2-25476_7	0	1.88053498458922	-0.163731933929804	-0.0800516647531531	G1
mydata_scRNAseq	33778.4700000007	7527	pelm_3	25476_4#53	25476_4	pelm_3-25476_4	0	2.15356112932287	-0.111322092222986	-0.538556257175676	G1
mydata_scRNAseq	33128.8999999998	6780	pelm_3	25476_4#372	25476_4	pelm_3-25476_4	0	2.37768232570355	-0.213596008258777	-0.711079219288178	G1
mydata_scRNAseq	36909.8700000011	8588	nosn_6	25476_4#116	25476_4	nosn_6-25476_4	0	1.85860855104605	-0.070552477632468	-0.23374282433982	G1
mydata_scRNAseq	34596.0000000006	7803	zapk_3	25476_4#377	25476_4	zapk_3-25476_4	0	2.14475661926231	-0.331839298004132	-0.390585533869123	G1
mydata_scRNAseq	31741.6000000002	6620	nosn_6	25476_4#198	25476_4	nosn_6-25476_4	0	2.02699296821835	-3.0595165175499	-3.25792192881745	G1
mydata_scRNAseq	35412.3600000005	7601	nosn_6	25476_4#41	25476_4	nosn_6-25476_4	0	1.88016274543688	-0.0793224363386393	-0.209325487944916	G1
mydata_scRNAseq	35902.2499999993	8129	meue_4	22607_6#207	22607_6	meue_4-22607_6	0	1.83169578508314	-0.155502236751552	-0.225619977037891	G1
mydata_scRNAseq	36406.9999999996	8168	poih_4	22607_6#5	22607_6	poih_4-22607_6	0	2.09602548960367	-0.0153974535444066	-0.62101033295064	G1
mydata_scRNAseq	37382.1999999999	8314	naah_2	22607_6#70	22607_6	naah_2-22607_6	0	1.89100694983174	-0.0744425326909903	-0.854047072330657	G1
mydata_scRNAseq	34310.3999999997	7519	vils_1	22607_6#101	22607_6	vils_1-22607_6	0	2.26957423988064	-0.331378183069525	-0.949311136624588	G1
mydata_scRNAseq	36280.9700000001	8136	keui_1	22607_6#110	22607_6	keui_1-22607_6	0	1.80474777824297	-0.0925999655884446	-0.671762342135481	G1
mydata_scRNAseq	33332.8999999997	7532	vils_1	22607_6#103	22607_6	vils_1-22607_6	0	2.33613036969482	-0.621476256022031	-0.251923076923072	G1
mydata_scRNAseq	38543.5000000001	8924	naah_2	22607_6#247	22607_6	naah_2-22607_6	0	1.76268372099056	-0.232672057811433	-0.331458094144653	G1
mydata_scRNAseq	37987.4099999992	8726	meue_4	22607_6#149	22607_6	meue_4-22607_6	0	1.7371281695699	-0.283140743289765	-0.439822043628031	G1
mydata_scRNAseq	34781.0899999998	7776	naah_2	22607_6#40	22607_6	naah_2-22607_6	0	1.92573033220064	-0.706714900206461	-0.39278989667049	G1
mydata_scRNAseq	36655.6000000007	7848	aowh_2	22607_6#379	22607_6	aowh_2-22607_6	0	1.98278025731399	-0.203635581555397	-0.679535017221563	G1
mydata_scRNAseq	37585.5599999999	8711	aowh_2	22607_6#282	22607_6	aowh_2-22607_6	0	1.84323447621906	-0.237018754301435	-0.213619402985063	G1
